metric,mean,method,i,dataset
CCC,0.3995880669898354,FS0_HT0,7,simulated
MAE,0.7094312361437248,FS0_HT0,7,simulated
R2,0.2013482216688332,FS0_HT0,7,simulated
RMSE,0.8775066441527336,FS0_HT0,7,simulated
RMSPE,2.8402757926668447,FS0_HT0,7,simulated
RSR,0.8838695070843068,FS0_HT0,7,simulated
r,0.6578963968963601,FS0_HT0,7,simulated
r2,0.47039192009005626,FS0_HT0,7,simulated
CCC,0.45448813341126454,FS0_HT1,7,simulated
MAE,0.6927898244911729,FS0_HT1,7,simulated
R2,0.243071556372027,FS0_HT1,7,simulated
RMSE,0.8394007579525798,FS0_HT1,7,simulated
RMSPE,3.3359575609604066,FS0_HT1,7,simulated
RSR,0.8545834335229365,FS0_HT1,7,simulated
r,0.6394128568633649,FS0_HT1,7,simulated
r2,0.43935355841997437,FS0_HT1,7,simulated
CCC,0.07028172271062695,FS1_HT0,7,simulated
MAE,0.9183146706045783,FS1_HT0,7,simulated
R2,-0.36094624106240414,FS1_HT0,7,simulated
RMSE,1.1452037230250047,FS1_HT0,7,simulated
RMSPE,2.9860003485356046,FS1_HT0,7,simulated
RSR,1.1524676516586094,FS1_HT0,7,simulated
r,0.14003140810948844,FS1_HT0,7,simulated
r2,0.036514301319908404,FS1_HT0,7,simulated
CCC,0.06989628820199142,FS1_HT1,7,simulated
MAE,0.8975308792493978,FS1_HT1,7,simulated
R2,-0.3311786063529376,FS1_HT1,7,simulated
RMSE,1.1282093168214855,FS1_HT1,7,simulated
RMSPE,2.743179769197668,FS1_HT1,7,simulated
RSR,1.139010155412055,FS1_HT1,7,simulated
r,0.12962239588276972,FS1_HT1,7,simulated
r2,0.03882984955645671,FS1_HT1,7,simulated
CCC,0.01769845365953248,FS0_HT0,7,spectral
MAE,4.961775161625989,FS0_HT0,7,spectral
R2,-0.03551889838870346,FS0_HT0,7,spectral
RMSE,6.347745949014901,FS0_HT0,7,spectral
RMSPE,0.1310256089292623,FS0_HT0,7,spectral
RSR,1.01747410383804,FS0_HT0,7,spectral
r,0.23843316741056908,FS0_HT0,7,spectral
r2,0.07802024580531593,FS0_HT0,7,spectral
CCC,0.01140752214426068,FS0_HT1,7,spectral
MAE,4.928616013979217,FS0_HT1,7,spectral
R2,-0.027870624622626395,FS0_HT1,7,spectral
RMSE,6.3255825795038545,FS0_HT1,7,spectral
RMSPE,0.13049594350104773,FS0_HT1,7,spectral
RSR,1.0136630019366495,FS0_HT1,7,spectral
r,0.1923212089613744,FS0_HT1,7,spectral
r2,0.06510462873433448,FS0_HT1,7,spectral
CCC,0.0049129023894013465,FS1_HT0,7,spectral
MAE,5.059018710453392,FS1_HT0,7,spectral
R2,-0.14557819088748927,FS1_HT0,7,spectral
RMSE,6.636548485178028,FS1_HT0,7,spectral
RMSPE,0.1361081715743692,FS1_HT0,7,spectral
RSR,1.064750275524302,FS1_HT0,7,spectral
r,0.1238133352016914,FS1_HT0,7,spectral
r2,0.0338520842755264,FS1_HT0,7,spectral
CCC,0.00021687784751253116,FS1_HT1,7,spectral
MAE,5.069338634130688,FS1_HT1,7,spectral
R2,-0.16227765600980198,FS1_HT1,7,spectral
RMSE,6.686261249236696,FS1_HT1,7,spectral
RMSPE,0.13665154623278267,FS1_HT1,7,spectral
RSR,1.072966275319572,FS1_HT1,7,spectral
r,0.04178695335755207,FS1_HT1,7,spectral
r2,0.00921280951542401,FS1_HT1,7,spectral
CCC,0.4719524292621494,FS0_HT0,8,simulated
MAE,0.6436036491640834,FS0_HT0,8,simulated
R2,0.337103338984984,FS0_HT0,8,simulated
RMSE,0.8200043114086519,FS0_HT0,8,simulated
RMSPE,2.354020897935687,FS0_HT0,8,simulated
RSR,0.8132900977480508,FS0_HT0,8,simulated
r,0.694638520645178,FS0_HT0,8,simulated
